,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/success rate
0,137.0,-5.8074774742126465,0.23979312181472778,0.9902418255805969,-0.06626557558774948,9.999999747378752e-05,50.0,-9.011938095092773,0.0,0.0
1,95.0,-7.868548393249512,0.7719436883926392,0.9706236720085144,-0.20034350454807281,9.999999747378752e-05,50.0,-9.990659713745117,0.0,0.0
2,81.0,-9.768898963928223,1.1772809028625488,0.9514077305793762,-0.3349236249923706,9.999999747378752e-05,,,,0.0
3,76.0,-11.739325523376465,2.730191707611084,0.9325730800628662,-0.47145992517471313,9.999999747378752e-05,,,,0.0
4,70.0,-13.492311477661133,3.2386913299560547,0.9141110777854919,-0.6046227812767029,9.999999747378752e-05,,,,0.0
5,69.0,-15.44792366027832,2.643500804901123,0.8960172533988953,-0.7377651929855347,9.999999747378752e-05,,,,0.0
6,69.0,-17.044654846191406,8.792125701904297,0.8782796263694763,-0.8724541068077087,9.999999747378752e-05,,,,0.0
7,68.0,-18.550451278686523,1.5008491277694702,0.860896646976471,-1.0065553188323975,9.999999747378752e-05,,,,0.0
8,68.0,-19.87962532043457,6.34660530090332,0.8438591361045837,-1.1404014825820923,9.999999747378752e-05,,,,0.0
9,65.0,-21.398908615112305,5.550631523132324,0.8271567225456238,-1.27846097946167,9.999999747378752e-05,,,,0.0
